CCG_CODE,TOTAL_ALL,TOTAL_MALE,TOTAL_FEMALE,MALE_0-4,MALE_5-9,MALE_10-14,MALE_15-19,MALE_20-24,MALE_25-29,MALE_30-34,MALE_35-39,MALE_40-44,MALE_45-49,MALE_50-54,MALE_55-59,MALE_60-64,MALE_65-69,MALE_70-74,MALE_75-79,MALE_80-84,Male_85-89,MALE_90-94,MALE_95+,FEMALE_0-4,FEMALE_5-9,FEMALE_10-14,FEMALE_15-19,FEMALE_20-24,FEMALE_25-29,FEMALE_30-34,FEMALE_35-39,FEMALE_40-44,FEMALE_45-49,FEMALE_50-54,FEMALE_55-59,FEMALE_60-64,FEMALE_65-69,FEMALE_70-74,FEMALE_75-79,FEMALE_80-84,FEMALE_85-89,FEMALE_90-94,FEMALE_95+
06Y,230234,113546,116688,6455,6493,6277,6790,5950,6229,6300,6256,7685,8444,8307,7089,6959,7892,6064,4688,3111,1781,671,105,6199,6048,5971,6466,5799,6395,6470,6366,7895,8601,8324,7341,7257,8363,6126,4966,3825,2543,1382,351
07G,167863,82910,84953,6249,6157,5281,5238,5174,5451,5780,5851,6232,6570,5705,4597,4039,3893,2515,1893,1295,703,261,26,5863,5890,4909,5072,5242,6094,6607,6215,6106,6171,5443,4356,4046,4053,2854,2300,1762,1213,616,141
07H,298298,146250,152048,9540,9770,8634,8811,8125,8629,9422,9485,10557,11388,11070,9559,7770,7923,5436,4215,3242,1862,712,100,9214,9086,8258,8106,8095,9556,10363,9927,10878,11552,10944,9183,8147,8201,5986,5164,4331,3041,1602,414
07J,169815,83130,86685,4383,4489,4167,4506,4560,4697,4404,4298,5245,5829,5929,5364,5386,6250,4844,3899,2762,1458,572,88,4330,4189,4054,4412,4366,4802,4492,4265,5438,5713,6034,5630,5909,6684,5216,4305,3256,2169,1162,259
07K,242730,120198,122532,6639,6666,6393,6747,6280,6911,7406,7285,8444,9313,8895,7392,7295,8190,6055,4827,3054,1631,671,104,6130,6551,6085,6397,6236,7053,7193,7110,8197,9154,8580,7700,7733,8785,6482,5021,3770,2632,1358,365
07L,209806,104675,105131,9723,9336,7161,6657,6759,8233,8971,8776,8153,7498,6433,4925,3623,2893,1884,1571,1157,637,261,24,9239,9090,6939,6332,7162,9335,9721,8516,7426,6742,5828,4390,3507,3051,2265,2081,1698,1123,552,134
07M,395286,191799,203487,13872,13384,11355,10839,11911,15830,16894,15832,14500,13162,11959,10173,8432,7575,5381,4460,3305,1881,871,183,13235,12856,10960,10439,13858,17558,18468,16110,14370,13536,12045,10404,8910,8552,6446,5541,4533,3178,1871,617
07N,231331,111890,119441,7778,7596,6998,7181,7044,7200,7155,7054,7707,8455,8214,6703,5602,5520,3843,3414,2439,1371,541,75,7339,7380,6752,6943,7312,8012,8127,7696,8009,8993,8341,6728,5874,6001,4624,4252,3352,2256,1180,270
07P,360155,186055,174100,12222,11580,10168,9903,12058,19180,20688,17465,14694,13261,11669,9353,7053,5362,4096,3445,2298,1047,418,95,11559,11102,9690,9346,12374,18147,17948,14310,12131,11552,10750,8678,6784,5663,4582,3997,2897,1644,716,230
07Q,337102,165342,171760,10792,10663,9631,9617,8674,9710,11033,11898,12928,13330,12490,10111,8328,8601,5910,4791,3725,2106,870,134,10241,10192,9320,8999,9028,10695,11809,12349,12542,13116,12082,9650,8718,9278,6804,6079,5095,3464,1816,483
