CCG_CODE,TOTAL_ALL,TOTAL_MALE,TOTAL_FEMALE,MALE_0-4,MALE_5-9,MALE_10-14,MALE_15-19,MALE_20-24,MALE_25-29,MALE_30-34,MALE_35-39,MALE_40-44,MALE_45-49,MALE_50-54,MALE_55-59,MALE_60-64,MALE_65-69,MALE_70-74,MALE_75-79,MALE_80-84,Male_85-89,MALE_90-94,MALE_95+,FEMALE_0-4,FEMALE_5-9,FEMALE_10-14,FEMALE_15-19,FEMALE_20-24,FEMALE_25-29,FEMALE_30-34,FEMALE_35-39,FEMALE_40-44,FEMALE_45-49,FEMALE_50-54,FEMALE_55-59,FEMALE_60-64,FEMALE_65-69,FEMALE_70-74,FEMALE_75-79,FEMALE_80-84,FEMALE_85-89,FEMALE_90-94,FEMALE_95+
11N,563070,276770,286300,14754,14948,14488,16206,16335,15546,15232,14588,17524,19942,20153,18625,18254,20758,15004,10949,7555,4075,1559,275,14008,14103,13720,15656,16204,15185,15109,14816,18167,20272,20188,19235,19453,21567,15748,12208,9429,6591,3652,989
11T,214659,105300,109359,6161,6338,5822,5961,5326,5519,5982,6086,7445,8244,7802,6674,6390,7055,5302,4017,2805,1570,683,118,5754,5869,5641,5675,5255,5772,6288,6295,7415,7982,7560,6901,6702,7628,5668,4586,3741,2628,1559,440
11X,556591,274015,282576,14630,15281,15592,17584,15281,15152,14915,14061,17681,20278,20375,18043,17575,18966,13935,10723,7586,4368,1688,301,14311,14734,14621,16035,14595,15264,14779,14417,17902,20379,20345,18350,18373,19812,15109,11954,9741,6961,3886,1008
12A,262847,130510,132337,8085,8054,7390,8138,7600,8241,8656,8432,9481,10303,9814,7889,6887,6935,5431,4138,2817,1560,564,95,7710,7808,7018,7366,7403,8518,8731,8422,9340,10294,9489,7605,7000,7340,5884,4744,3770,2347,1225,323
12D,228747,114427,114320,7981,7579,6518,6552,6487,7534,8351,8164,9072,9173,8788,6986,5686,5238,3804,2880,2040,1115,425,54,7661,7142,6199,6408,6512,8143,8782,7979,8471,8621,8002,6435,5660,5378,4020,3347,2701,1764,893,202
12F,333058,163475,169583,9683,9799,9185,9711,9911,10312,9869,9180,10912,11993,12480,10856,9956,9911,7223,5535,3921,2131,769,138,9026,9289,8907,9140,9480,10455,9927,9423,11133,12223,12561,10928,10300,10411,8057,6800,5464,3752,1834,473
13A,48,42,6,0,0,0,1,5,7,9,3,4,6,2,1,2,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
13P,747166,375636,371530,26469,26550,24114,24801,27377,27954,28830,26708,27162,26741,24078,20089,16611,15151,11549,9349,6794,3711,1381,217,25331,25582,23090,23999,26849,28604,28026,23975,24025,24467,22989,18833,16550,15696,12741,11382,9303,6115,3119,854
99A,500844,250715,250129,14484,13579,12206,14883,22481,21922,20186,17019,17204,17460,18180,15350,12882,11261,7755,6630,4367,2103,671,92,13887,13040,11704,15407,24334,20898,18498,14798,15319,16582,17401,15114,12745,11589,8756,8187,6080,3709,1695,386
99C,216284,106054,110230,6151,6322,5613,6047,6124,6591,6993,6873,7703,8021,8058,7066,6432,6249,4173,3411,2426,1286,447,68,5779,5877,5324,5621,5922,6858,7624,6947,7578,7917,8051,7343,6572,6608,4660,4295,3498,2370,1077,309
99D,161573,79208,82365,4295,4472,4369,4597,4121,4451,4485,4524,5411,6092,5921,5118,4928,5448,3954,3175,2124,1190,454,79,4119,4203,4306,4345,4148,4586,4627,4518,5678,5998,5904,5305,5150,5746,4320,3557,2780,1859,958,258
99E,270291,132890,137401,8562,8505,7977,8300,7825,8682,8607,8627,9457,10226,9795,8200,6874,7217,4825,3961,3019,1558,574,99,8053,8046,7611,7834,7783,8797,9155,8795,9404,10169,9733,8083,7183,7809,5671,5032,4061,2562,1302,318
99F,181858,89518,92340,4464,4865,4927,5610,5435,5055,4775,4709,5959,7073,6701,5785,5366,6356,4513,3620,2527,1228,483,67,4395,4585,4817,5162,5080,4930,4791,4964,6107,6810,6592,5695,5736,6929,5058,4291,3126,1987,1046,239
99G,185009,92172,92837,5642,5589,5132,5478,5403,5808,6211,6003,6943,7061,6997,5686,4769,5176,3575,2781,2067,1234,504,113,5326,5320,4806,5076,5448,5971,6205,5961,6462,6758,6362,5272,4930,5243,3922,3275,2790,2099,1251,360
99H,300406,147627,152779,8703,9481,8925,9149,7345,7517,8270,9656,11078,12062,11643,9706,8127,8449,5936,4812,3604,2083,905,176,8460,8878,8636,8556,7901,7664,8693,10047,11246,11834,11349,9245,8361,8788,6715,5688,4781,3397,1977,563
99J,475179,233281,241898,14835,15280,14292,14420,12248,13112,13670,14372,17229,18652,17525,14501,12624,13795,9779,7549,5318,2842,1054,184,13736,14245,14117,13808,12261,13907,14476,15148,17824,18723,17238,14482,13134,14383,10783,8674,6945,4777,2565,672
99K,167409,81890,85519,4286,5001,4927,4881,4345,4116,4024,4041,5513,6474,6469,5832,5316,5546,4138,3053,2155,1188,476,109,4006,4605,4678,4722,4095,4006,4107,4398,5918,6688,6709,5856,5476,6103,4455,3599,2740,1929,1105,324
99M,221469,109649,111820,7060,7090,6504,6516,6361,6509,6877,7275,8660,9114,8448,6592,5479,5840,4296,3278,2089,1146,439,76,6613,6776,6088,6198,6542,6974,7406,7657,8573,8785,7873,6378,5853,6089,4532,3719,2691,1797,994,282
99N,482786,236572,246214,13385,13825,13824,14621,12461,12441,12520,12724,16449,18930,18751,16253,14706,15211,11155,8556,5930,3343,1255,232,12675,13348,13403,14259,12405,12953,13196,13482,17420,19178,18632,16166,15101,16043,11916,9610,7501,5241,2946,739
99P,905649,443591,462058,24306,24389,23400,27051,31415,26104,25576,23996,28085,31895,31595,28675,27030,29695,22197,16731,11713,6638,2629,471,22767,23278,21950,26934,31699,26795,26098,24280,28563,32362,32156,29174,28510,31097,23431,19335,15426,10734,5816,1653
99Q,288356,141036,147320,7123,7576,7314,8327,7739,7559,7130,6911,8923,10301,10640,9562,9481,10862,7947,5898,4143,2389,1036,175,6849,7052,6917,7766,7274,7450,7304,7255,9002,10534,10962,9903,10172,10992,8523,6810,5516,4145,2294,600
UNKNOWN,104,86,18,0,1,1,3,5,9,15,15,9,16,5,4,2,1,0,0,0,0,0,0,0,0,0,2,1,1,2,2,4,3,1,1,0,0,0,1,0,0,0,0
